Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors
450000,71,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Dvoetažni
220000,56,Splitsko-dalmatinska,Okrug,Okrug Gornji,2-sobni,U stambenoj zgradi,Jednoetažni
215000,56,Splitsko-dalmatinska,Okrug,Okrug Gornji,2-sobni,U stambenoj zgradi,Jednoetažni
165000,51,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
159000,51,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
375000,99,Splitsko-dalmatinska,Seget,Seget Donji,4-sobni,U stambenoj zgradi,Jednoetažni
164000,45,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
223000,67,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
159000,45,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
400000,95,Splitsko-dalmatinska,Seget,Seget Donji,4-sobni,U stambenoj zgradi,Jednoetažni
171000,53,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
183000,45,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
160000,51,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
224640,57,Splitsko-dalmatinska,Prgomet,Labin,3-sobni,U stambenoj zgradi,Jednoetažni
177000,53,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
455000,80,Splitsko-dalmatinska,Split - Okolica,Slatine,3-sobni,U stambenoj zgradi,Jednoetažni
